Survey_id,sex,Age,Married,Number_children,education_level,total_members,gained_asset,durable_asset,save_asset,living_expenses,other_expenses,incoming_salary,incoming_own_farm,incoming_business,incoming_no_business,incoming_agricultural,farm_expenses,labor_primary,lasting_investment,no_lasting_investmen,depressed
926,1.0,0.14864864864864866,1.0,0.36363636363636365,0.5,0.36363636363636365,0.2893358722450932,0.22824222224668939,0.2328434091006786,0.2668760312222379,0.2812831479291297,0.0,0.0,0.0,0.0,0.29863780942695606,0.3128599748385206,0.0,0.28516402068482316,0.2830085746798474,0.0
747,1.0,0.08108108108108111,1.0,0.2727272727272727,0.38888888888888884,0.36363636363636365,0.2893358722450932,0.22824222224668939,0.2328434091006786,0.2668760312222379,0.2812831479291297,0.0,0.0,0.0,0.0,0.29863780942695606,0.3128599748385206,0.0,0.28516402068482316,0.2830085746798474,1.0
1190,1.0,0.06756756756756757,1.0,0.2727272727272727,0.4444444444444444,0.36363636363636365,0.2893358722450932,0.22824222224668939,0.2328434091006786,0.2668760312222379,0.2812831479291297,0.0,0.0,0.0,0.0,0.29863780942695606,0.3128599748385206,0.0,0.28516402068482316,0.2830085746798474,0.0
1065,1.0,0.13513513513513517,1.0,0.18181818181818182,0.5,0.2727272727272727,0.5297642256512785,0.19643790695398014,0.49596793272781053,0.0013611308052903872,0.4402301484022717,0.0,1.0,0.0,1.0,0.22081302535411235,0.18595171896744414,0.0,0.07755506497655913,0.6942329557346273,0.0
806,0.0,0.5675675675675677,0.0,0.36363636363636365,0.5,0.4545454545454545,0.832784881943599,0.1728463718732795,0.2328434091006786,0.814023795433418,0.7459098309795363,1.0,0.0,0.0,0.0,0.5334539438260782,0.205872057015594,1.0,0.20152753720538533,0.43499810429315555,0.0
483,1.0,0.24324324324324328,1.0,0.5454545454545454,0.5,0.6363636363636364,0.36044004016257253,0.005773086183535155,0.2328434091006786,0.30730568349661613,0.11397897697453264,0.0,1.0,0.0,1.0,0.22483846238090024,0.18751850793173644,0.0,0.04395858506954272,0.768679966885065,0.0
849,0.0,0.22972972972972974,0.0,0.09090909090909091,0.4444444444444444,0.1818181818181818,0.4147471829540721,0.21882170626349348,0.2328434091006786,0.6711724025003826,0.10755038043685995,0.0,0.0,0.0,0.0,0.26509265167874885,0.221092098607795,0.0,0.22630027711423825,0.5574747629442053,1.0
1386,1.0,0.05405405405405403,1.0,0.18181818181818182,0.5,0.2727272727272727,0.11830195158346095,0.20271826770110457,0.4799130042094039,0.8059378528612914,0.5848735353772707,0.0,0.0,1.0,0.0,0.08998691516304952,0.3693755572127017,0.0,0.3406214956621496,0.5473391267120519,0.0
930,1.0,0.20270270270270271,1.0,0.6363636363636364,0.4444444444444444,0.7272727272727273,0.10892905515001673,0.2519948182582042,0.8010110031706865,0.30191506184700445,0.6724631494048825,1.0,0.0,0.0,0.0,0.3241321534449309,0.28644873300016066,1.0,0.1403215833374215,0.1506287342294965,0.0
390,1.0,0.16216216216216214,1.0,0.36363636363636365,0.5,0.36363636363636365,0.2893358722450932,0.22824222224668939,0.2328434091006786,0.2668760312222379,0.2812831479291297,0.0,0.0,0.0,0.0,0.29863780942695606,0.3128599748385206,0.0,0.28516402068482316,0.2830085746798474,0.0
540,1.0,0.9054054054054054,0.0,0.0,0.0,0.36363636363636365,0.2893358722450932,0.22824222224668939,0.2328434091006786,0.2668760312222379,0.2812831479291297,0.0,0.0,0.0,0.0,0.29863780942695606,0.3128599748385206,0.0,0.28516402068482316,0.2830085746798474,1.0
557,1.0,0.5675675675675677,0.0,0.18181818181818182,0.4444444444444444,0.1818181818181818,0.0070221244342599,0.47341723926100004,0.2328434091006786,0.0,0.30040822639184556,0.0,0.0,0.0,0.0,0.6676346049805788,0.13782953174667312,1.0,0.15738942538104783,0.20184544403679874,0.0
1280,1.0,0.2837837837837839,1.0,0.36363636363636365,0.5,0.4545454545454545,0.12212079467352402,0.19128482189761006,0.2328434091006786,0.10650514317223754,0.003262511613927,0.0,0.0,0.0,0.0,0.7213068372699292,0.5680194471125785,0.0,0.20802083073892522,0.156564827677967,0.0
1195,1.0,0.13513513513513517,1.0,0.36363636363636365,0.5,0.4545454545454545,0.16392457165732227,0.37196550392197647,0.2328434091006786,0.21162220475340973,0.10369323254929538,0.0,1.0,0.0,0.0,0.027995450373227065,0.2255685867561932,0.0,0.6272467574615179,0.12076052499112734,0.0
603,1.0,0.5270270270270271,1.0,0.0,0.611111111111111,0.09090909090909091,0.9440177770515698,0.21093101774812426,0.05766919617451736,0.3463876349189002,0.7254990532793639,0.0,1.0,0.0,0.0,0.4368439277160256,0.7802047257362619,0.0,0.12406127960612796,0.7141465990384194,1.0
729,1.0,0.0945945945945946,1.0,0.18181818181818182,0.5,0.36363636363636365,0.007927345030237919,0.12123480985423826,0.014320969372272084,0.3827743058095059,0.3781942294451266,0.0,1.0,0.0,0.0,0.21142039928161735,0.37776892217885694,0.0,0.2406868810371092,0.4872965034010289,0.0
770,1.0,0.10810810810810809,1.0,0.2727272727272727,0.5,0.36363636363636365,0.3729434363338977,0.7568379630809695,0.8010109630719603,0.408379773791725,0.4024621650679026,0.0,1.0,0.0,0.0,0.06113807045108982,0.44849737857400623,0.0,0.11595329184796077,0.12424708024270753,0.0
76,1.0,0.3648648648648649,1.0,0.4545454545454546,0.611111111111111,0.36363636363636365,0.2893358722450932,0.22824222224668939,0.2328434091006786,0.2668760312222379,0.2812831479291297,0.0,0.0,0.0,0.0,0.29863780942695606,0.3128599748385206,0.0,0.28516402068482316,0.2830085746798474,0.0
